Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Don Juan DeMarco,22032635,22032635,NA,25000000,7-Apr-95,PG-13,NA,New Line,Original Screenplay,Drama,Contemporary Fiction,NA,73,6.6,20386
Tales from the Crypt: Demon Knight,21089146,21089146,NA,12000000,13-Jan-95,R,NA,Universal,Original Screenplay,Horror,Fantasy,NA,NA,6.4,6430
Dead Man Walking,39387284,83088295,NA,11000000,29-Dec-95,R,NA,Gramercy,Based on Real Life Events,Drama,Dramatization,Tim Robbins,94,7.6,32159
Dances with Wolves,184208842,424200000,NA,19000000,9-Nov-90,NA,NA,Orion Pictures,Based on Book/Short Story,Western,Historical Fiction,Kevin Costner,76,8,71399
Dangerous Liaisons,34700000,34700000,NA,14000000,21-Dec-88,NA,NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Stephen Frears,93,7.7,25761
Donovan's Reef,6600000,6600000,NA,2686000,NA,NA,NA,NA,NA,NA,NA,John Ford,60,6.6,2907
Due occhi diabolici,349618,349618,NA,9000000,25-Oct-91,NA,NA,NA,NA,NA,NA,NA,NA,5.9,2059
Double Impact,29090445,29090445,NA,16000000,9-Aug-91,NA,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Sheldon Lettich,8,4.7,10426
The Doors,34167219,34167219,NA,40000000,1-Mar-91,NA,NA,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Oliver Stone,57,7,29750
Day of the Dead,5804262,34004262,NA,3500000,3-Jul-85,NA,NA,United Film Distribution Co.,NA,Horror,NA,George A. Romero,78,4.5,8395
Days of Thunder,82670733,157670733,NA,60000000,27-Jun-90,NA,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,40,5.4,25395
Dracula: Pages from a Virgin's Diary,39659,84788,NA,1100000,14-May-03,Not Rated,NA,NA,NA,NA,NA,NA,NA,7,1013
Dolphin,14000,14000,NA,170000,NA,NA,NA,NA,Based on Real Life Events,Documentary,Factual,NA,NA,5.8,134
The Dress,16556,16556,NA,2650000,16-Jan-98,Not Rated,NA,Attitude Films,Original Screenplay,Drama,NA,NA,NA,7.6,1844
The Deer Hunter,50000000,50000000,NA,15000000,NA,NA,NA,Universal,Original Screenplay,Drama,NA,Michael Cimino,NA,8.2,88095
Dragonslayer,6000000,6000000,NA,18000000,26-Jun-81,NA,NA,Paramount Pictures,Original Screenplay,Action,Fantasy,NA,82,6.8,4945
Driving Miss Daisy,106593296,106593296,NA,7500000,13-Dec-89,NA,NA,Warner Bros.,Based on Play,Drama,Historical Fiction,Bruce Beresford,78,7.5,22566
Dressed to Kill,31899000,31899000,NA,6500000,1-Jan-80,NA,NA,NA,NA,NA,NA,Brian De Palma,84,7.1,9556
Do the Right Thing,26004026,26004026,NA,6000000,30-Jun-89,NA,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,Spike Lee,98,7.9,26877
Dune,27447471,27447471,NA,45000000,14-Dec-84,NA,NA,Universal,Based on Book/Short Story,Action,Science Fiction,David Lynch,62,6.5,38489
